GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label,GESIS-CODE,Leben genie�en,Ver�rgert,Nerv�s,�ngstlich
GBS-28779,POSITIV,0,1962.0,55.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,5.0,2.0,1.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,6.0,2.0,4.0,1,,,,,
GBS-28953,POSITIV,1,1949.0,67.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,6.0,2.0,3.0,1,,,,,
GBS-29060,,1,1953.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,1,,,,,
GBS-29362,,0,1956.0,61.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,6.0,2.0,3.0,1,,,,,
GBS-29825,,1,1985.0,32.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,7.0,2.0,5.0,1,,,,,
GBS-30551,NEGATIV,1,1951.0,66.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,7.0,2.0,2.0,1,,,,,
GBS-30926,,1,1962.0,55.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,7.0,1.0,4.0,1,,,,,
GBS-31012,POSITIV,1,1993.0,23.0,0.0,1.0,2.0,2.0,8.0,2.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1,,,,,
GBS-31045,POSITIV,1,1991.0,26.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,6.0,2.0,5.0,1,,,,,
GBS-31508,,0,1986.0,31.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,1,,,,,
GBS-31747,,1,1977.0,39.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,1.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,7.0,1.0,4.0,1,,,,,
GBS-31810,,1,1952.0,65.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,3.0,1.0,4.0,2.0,4.0,1.0,5.0,1.0,5.0,7.0,2.0,4.0,1,,,,,
GBS-31883,NEGATIV,0,1957.0,59.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,2.0,4.0,1.0,4.0,1.0,5.0,7.0,1.0,4.0,1,,,,,
GBS-32422,POSITIV,1,1990.0,27.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,1.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,1.0,6.0,2.0,5.0,1,,,,,
GBS-32520,,1,1992.0,25.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,1.0,4.0,6.0,2.0,5.0,1,,,,,
GBS-34007,,0,1995.0,22.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,5.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,6.0,2.0,4.0,1,,,,,
GBS-34425,,1,1976.0,41.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,6.0,1.0,5.0,1,,,,,
GBS-34636,POSITIV,1,1989.0,28.0,1.0,1.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,6.0,2.0,5.0,1,,,,,
GBS-35137,,1,1964.0,53.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,6.0,5.0,3.0,1,,,,,
GBS-35948,POSITIV,1,1992.0,25.0,1.0,1.0,2.0,3.0,8.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,3.0,2.0,4.0,6.0,4.0,1,,,,,
